"","Player","Salary","Guaranteed","Pos","Age","G","GS","MP","PTS","AST","FG","FGA","ORB","DRB","TRB","STL","BLK","TOV"
"183","John Collins",2.3e+07,1.25e+08,"PF",23,63,63,29.3,17.6,1.2,6.8,12.2,1.9,5.5,7.4,0.5,1,1.3
"184","John Konchar",2197674,6906977,"SG",24,43,0,13.4,4.3,1.1,1.6,3.2,0.8,2.2,3,0.7,0.2,0.4
"185","Jordan Clarkson",12420000,25760000,"SG",28,68,1,26.7,18.4,2.5,6.7,15.8,0.7,3.3,4,0.9,0.1,1.7
"186","Jordan McLaughlin",1669178,5453037,"PG",24,51,2,18.4,5,3.8,2,4.7,0.4,1.7,2.1,1,0.1,1
"187","Jordan Nwora",1517981,1517981,"SF",22,30,2,9.1,5.7,0.2,2.1,4.5,0.3,1.7,2,0.5,0.2,0.8
"188","Jordan Poole",2161440,6062839,"SG",21,51,7,19.4,12,1.9,4,9.3,0.3,1.5,1.8,0.5,0.2,1
"189","Josh Green",2957520,6055920,"SG",20,39,5,11.4,2.6,0.7,1.1,2.4,0.7,1.3,2,0.4,0.1,0.4
"190","Josh Hart",1.2e+07,1.2e+07,"SF",25,47,4,28.7,9.2,2.3,3.2,7.3,1.1,6.9,8,0.8,0.3,1
"191","Josh Jackson",5005350,5005350,"SG",23,62,25,25.2,13.4,2.3,4.8,11.4,0.9,3.2,4.1,0.9,0.8,2.3
"192","Josh Okogie",4087904,4087904,"SG",22,59,37,20.3,5.4,1.1,1.7,4.3,1.1,1.6,2.6,0.9,0.5,0.7
"193","Josh Richardson",11615328,23811422,"SG",27,59,56,30.3,12.1,2.6,4.5,10.5,0.9,2.4,3.3,1,0.4,1.3
"194","Jrue Holiday",30133333,97179999,"PG",30,59,56,32.3,17.7,6.1,7,13.9,1.2,3.3,4.5,1.6,0.6,2.2
"195","Juan Toscano-Anderson",1701593,1701593,"SG",27,53,16,20.9,5.7,2.8,2.3,3.9,0.5,3.9,4.4,0.8,0.5,1.2
"196","Julius Randle",19800000,96782400,"PF",26,71,71,37.6,24.1,6,8.5,18.6,1.2,9,10.2,0.9,0.3,3.4
"197","Justin Holiday",6006420,12298860,"SG",31,72,52,30.3,10.5,1.7,3.6,8.7,0.4,3.1,3.6,1,0.6,0.8
"198","Karl-Anthony Towns",31610000,101370000,"C",25,50,50,33.8,24.8,4.5,8.5,17.5,2.7,7.9,10.6,0.8,1.1,3.2
"199","Kawhi Leonard",39344900,127477476,"SF",29,52,52,34.1,24.8,5.2,8.9,17.5,1.1,5.4,6.5,1.6,0.4,2
"200","Keita Bates-Diop",1729217,1729217,"SF",25,30,0,8.2,2.6,0.4,1,2.2,0.3,1.3,1.6,0.4,0.2,0.2
"201","Keldon Johnson",2145720,6018745,"SF",21,69,67,28.5,12.8,1.8,4.9,10.2,1.3,4.6,6,0.6,0.3,1.1
"202","Kelly Olynyk",12195122,2.8e+07,"C-PF",29,70,62,28.5,13.5,2.9,4.8,10,1.2,5.7,7,1.1,0.6,1.8
"203","Kelly Oubre Jr.",1.2e+07,1.7e+07,"SF",25,55,50,30.7,15.4,1.3,5.8,13.2,1.5,4.5,6,1,0.8,1.3
"204","Kendrick Nunn",5e+06,5e+06,"PG",25,56,44,29.5,14.6,2.6,5.7,11.8,0.4,2.8,3.2,0.9,0.3,1.4
"205","Kent Bazemore",2401537,2401537,"SF",31,67,18,19.9,7.2,1.6,2.6,5.9,0.4,3,3.4,1,0.5,1.2
"206","Kentavious Caldwell-Pope",13038862,17926980,"SG",27,67,67,28.4,9.7,1.9,3.3,7.6,0.4,2.3,2.7,0.9,0.4,1
"207","Kenyon Martin Jr.",1517981,NA,"SF",20,45,8,23.7,9.3,1.1,3.6,7.1,1.6,3.8,5.4,0.7,0.9,0.8
"208","Kevin Durant",40918900,229997220,"PF",32,35,32,33.1,26.9,5.6,9.3,17.2,0.4,6.7,7.1,0.7,1.3,3.4
"209","Kevin Huerter",4253357,69253357,"SG",22,69,49,30.8,11.9,3.5,4.6,10.6,0.6,2.8,3.3,1.2,0.3,1.1
"210","Kevin Knox",5845978,5845978,"SF",21,42,0,11,3.9,0.5,1.3,3.4,0.2,1.2,1.5,0.3,0.1,0.4
"211","Kevin Love",31300000,60200000,"PF",32,25,25,24.9,12.2,2.5,4.1,10.1,0.7,6.8,7.4,0.6,0.1,1.5
"212","Kevin Porter Jr.",2130240,5975323,"SG",20,26,23,32.1,16.6,6.3,6,14.1,0.8,3,3.8,0.7,0.3,3.5
"213","Kevon Looney",5178572,5178572,"C",24,61,34,19,4.1,2,1.8,3.2,1.9,3.4,5.3,0.3,0.4,0.6
"214","Khem Birch",6350000,20002750,"C",28,67,22,22.8,7.2,1.3,2.8,5.7,2.6,3.2,5.8,0.7,0.7,0.7
"215","Khris Middleton",35500000,73448276,"SF",29,68,68,33.4,20.4,5.4,7.5,15.8,0.8,5.2,6,1.1,0.1,2.6
"216","Killian Hayes",5572680,11410440,"PG",19,26,18,25.8,6.8,5.3,2.7,7.7,0.2,2.4,2.7,1,0.4,3.2
"217","Killian Tillie",2e+06,4e+06,"C",22,18,1,10.1,3.2,0.4,1.1,3.2,0.3,1,1.3,0.3,0.4,0.1
"218","Kira Lewis Jr.",3822240,7826520,"PG",19,54,0,16.7,6.4,2.3,2.4,6.2,0.2,1.1,1.3,0.7,0.2,0.6
"219","Kyle Anderson",9937150,9937150,"PF",27,69,69,27.3,12.4,3.6,4.5,9.5,0.8,5,5.7,1.2,0.8,1.2
"220","Kyle Kuzma",1.3e+07,2.6e+07,"SF",25,68,32,28.7,12.9,1.9,4.9,11.1,1.6,4.5,6.1,0.5,0.6,1.7
"221","Kyle Lowry",26984128,85000002,"PG",34,46,46,34.8,17.2,7.3,5.7,13,0.8,4.6,5.4,1,0.3,2.7
"222","Kyrie Irving",34916200,34916200,"PG",28,54,54,34.9,26.9,6,10.2,20.1,1,3.8,4.8,1.4,0.7,2.4
"223","KZ Okpala",1782621,1782621,"PF",21,37,9,12.1,2.5,0.5,1,2.6,0.6,1.3,1.8,0.3,0.3,0.4
"224","Lamar Stevens",1517981,NA,"PF",23,40,0,12.5,4.1,0.6,1.6,3.4,0.6,1.8,2.4,0.4,0.3,0.6
"225","LaMarcus Aldridge",2641691,2641691,"C",35,26,23,25.9,13.5,1.9,5.4,11.4,0.7,3.8,4.5,0.4,1.1,1
"226","LaMelo Ball",8231760,16855680,"PG",19,51,31,28.8,15.7,6.1,5.7,13.2,1.2,4.7,5.9,1.6,0.4,2.8
"227","Landry Shamet",3768342,46768342,"SG",23,61,12,23,9.3,1.6,3,7.5,0.2,1.7,1.8,0.5,0.2,0.8
"228","Larry Nance Jr.",10690909,20363636,"PF",28,35,27,31.2,9.3,3.1,3.7,7.8,1.5,5.2,6.7,1.7,0.5,1.6
"229","Lauri Markkanen",15690909,55426362,"PF",23,51,26,25.8,13.6,0.9,4.9,10.2,0.7,4.6,5.3,0.5,0.3,1
"230","LeBron James",41180544,85655532,"PG",36,45,45,33.4,25,7.8,9.4,18.3,0.6,7,7.7,1.1,0.6,3.7
"231","Lonzo Ball",18604651,58604652,"PG",23,55,55,31.8,14.6,5.7,5.3,12.7,0.6,4.2,4.8,1.5,0.6,2.2
"232","Luguentz Dort",1782621,625000,"SG",21,52,52,29.7,14,1.7,4.8,12.3,0.7,2.9,3.6,0.9,0.4,1.5
"233","Luke Kennard",12727273,41236364,"SG",24,63,17,19.6,8.3,1.7,3.1,6.6,0.2,2.3,2.6,0.4,0.1,0.8
"234","Luke Kornet",606702,606702,"C-PF",25,31,2,11.2,3.4,0.8,1.4,3.3,0.5,1.7,2.2,0.1,1,0.2
"235","Malachi Flynn",2048040,4193760,"PG",22,47,14,19.7,7.5,2.9,2.7,7.2,0.2,2.3,2.5,0.8,0.1,0.9
"236","Malcolm Brogdon",21700000,89300000,"PG",28,56,56,34.5,21.2,5.9,7.9,17.5,1,4.2,5.3,0.9,0.3,2.1
"237","Malik Beasley",14391964,29849999,"SG",24,37,36,32.8,19.6,2.4,7.1,16.2,0.8,3.6,4.4,0.8,0.2,1.6
"238","Malik Fitts",231062,402218,"PF",23,3,0,3.7,1,0,0.3,1,0,1,1,0,0,0
"239","Malik Monk",1789256,1789256,"SG",22,42,0,20.9,11.7,2.1,4.1,9.5,0.3,2.1,2.4,0.5,0.1,1.3
"240","Marcus Morris",15627907,49116279,"PF",31,57,29,26.4,13.4,1,4.8,10.2,0.6,3.5,4.1,0.6,0.3,1
"241","Marcus Smart",14339285,90827281,"PG",26,48,45,32.9,13.1,5.7,4.2,10.6,0.8,2.7,3.5,1.5,0.5,2
"242","Markelle Fultz",16500000,3.5e+07,"PG",22,8,8,26.9,12.9,5.4,5.1,13,0.6,2.5,3.1,1,0.3,2.3
"243","Markieff Morris",2641691,2641691,"PF",31,61,27,19.7,6.7,1.2,2.5,6.2,0.8,3.6,4.4,0.4,0.3,0.9
"244","Marquese Chriss",958529,3486820,"PF",23,2,0,13.5,6.5,1,2.5,7,1.5,5,6.5,0,1,1
"245","Marvin Bagley III",11312114,11312114,"PF",21,43,42,25.9,14.1,1,5.7,11.4,2.5,4.9,7.4,0.5,0.5,1.4
"246","Mason Plumlee",8137500,16662500,"C",30,56,56,26.8,10.4,3.6,4.2,6.8,2.6,6.7,9.3,0.8,0.9,1.9
"247","Matisse Thybulle",2840160,7219687,"SG",23,65,8,20,3.9,1,1.6,3.7,0.5,1.4,1.9,1.6,1.1,0.5
"248","Matt Thomas",1669178,1669178,"SG",26,45,0,7.2,3.1,0.4,1.1,2.8,0.2,0.8,1,0.1,0,0.3
"249","Maurice Harkless",4347600,8912580,"PF-SF",27,37,23,20.9,5.2,1.2,1.9,4.5,0.4,2.1,2.4,0.8,0.5,0.6
"250","Max Strus",1669178,1669178,"SF",24,39,0,13,6.1,0.6,2.2,4.8,0.1,0.9,1.1,0.3,0.1,0.2
"251","Maxi Kleber",8750000,8750000,"PF",29,50,40,26.8,7.1,1.4,2.3,5.5,0.9,4.3,5.2,0.5,0.7,0.6
"252","Michael Carter-Williams",3e+06,3e+06,"SG",29,31,25,25.8,8.8,4.2,3.4,8.7,1.3,3.2,4.5,0.8,0.5,2.2
"253","Michael Porter Jr.",5258735,150538735,"SF",22,61,54,31.3,19,1.1,7.3,13.4,1.5,5.8,7.3,0.7,0.9,1.3
"254","Mikal Bridges",5557725,95557725,"SF",24,72,72,32.6,13.5,2.1,5,9.3,1.1,3.2,4.3,1.1,0.9,0.8
"255","Mike Conley",2.1e+07,5.8e+07,"PG",33,51,51,29.4,16.2,6,5.6,12.5,0.7,2.8,3.5,1.4,0.2,1.9
"256","Mike Muscala",3500000,3500000,"C",29,35,0,18.4,9.7,0.8,3.4,7.6,0.5,3.2,3.8,0.2,0.3,0.6
"257","Miles Bridges",5421493,5421493,"PF",22,66,19,29.3,12.7,2.2,4.7,9.4,1.2,4.8,6,0.7,0.8,1.6
"258","Mitchell Robinson",1802057,1802057,"C",22,31,29,27.5,8.3,0.5,3.7,5.7,3.6,4.5,8.1,1.1,1.5,0.8
"259","Miye Oni",850331,850331,"SG",23,54,0,9.6,1.9,0.5,0.6,1.8,0.4,1.1,1.6,0.2,0.1,0.3
"260","Mo Bamba",7568742,7568742,"C",22,46,5,15.8,8,0.8,3.1,6.5,1.7,4.1,5.8,0.3,1.3,0.8
"261","Monte Morris",8333333,2.7e+07,"PG",25,47,13,25.4,10.2,3.2,4,8.2,0.2,1.8,2,0.7,0.3,0.7
"262","Montrezl Harrell",9720900,9720900,"C",27,69,1,22.9,13.5,1.1,5.4,8.7,2.3,3.9,6.2,0.7,0.7,1.1
"263","Moses Brown",1720779,1701593,"C",21,43,32,21.4,8.6,0.2,3.4,6.2,3.6,5.3,8.9,0.7,1.1,1
"264","Myles Turner",1.8e+07,3.6e+07,"C",24,47,47,31,12.6,1,4.4,9.2,1.3,5.2,6.5,0.9,3.4,1.4
"265","Naji Marshall",1517981,1517981,"SF",23,32,10,21.9,7.7,2.8,2.6,6.5,0.5,4.2,4.6,0.8,0.3,1.2
"266","Nassir Little",2316240,6487788,"PF",20,48,2,13.3,4.6,0.5,1.6,3.5,0.7,2,2.7,0.1,0.3,0.4
"267","Naz Reid",1782621,NA,"C",21,70,15,19.2,11.2,1,4.3,8.3,1.2,3.4,4.6,0.5,1.1,1
"268","Nemanja Bjelica",2089448,2089448,"PF",32,37,3,16.1,6.5,1.9,2.4,5.3,0.8,2.6,3.4,0.4,0.1,0.9
"269","Nerlens Noel",8800000,18040000,"C",26,64,41,24.2,5.1,0.7,2.1,3.5,2.2,4.2,6.4,1.1,2.2,1
"270","Nic Claxton",1782621,1782621,"C",21,32,1,18.6,6.6,0.9,2.8,4.5,1.3,3.8,5.2,0.7,1.3,0.6
"271","Nick Richards",1517981,1517981,"PF",23,18,0,3.5,0.8,0.1,0.2,0.5,0.2,0.4,0.6,0,0,0.2
"272","Nickeil Alexander-Walker",3261480,8271113,"SG",22,46,13,21.9,11,2.2,4.2,10,0.3,2.8,3.1,1,0.5,1.5
"273","Nicolas Batum",12213507,3170029,"SF",32,67,38,27.4,8.1,2.2,2.9,6.1,0.7,4,4.7,1,0.6,0.8
"274","Nicolas Batum",12213507,18086956,"SF",32,67,38,27.4,8.1,2.2,2.9,6.1,0.7,4,4.7,1,0.6,0.8
"275","Norman Powell",15517242,9e+07,"SG-SF",27,69,58,32,18.6,1.9,6.3,13.3,0.6,2.5,3.1,1.2,0.3,1.7
"276","Obi Toppin",5105160,10453440,"PF",22,62,0,11,4.1,0.5,1.7,3.4,0.4,1.8,2.2,0.3,0.2,0.4
"277","OG Anunoby",16071429,52071429,"SF",23,43,43,33.3,15.9,2.2,5.8,12.1,1.3,4.3,5.5,1.5,0.7,1.7
"278","Onyeka Okongwu",6104280,12499440,"C",20,50,4,12,4.6,0.4,1.9,3,1.2,2,3.3,0.5,0.7,0.6
"279","Oshae Brissett",1701593,NA,"SF",22,21,16,24.7,10.9,0.9,3.5,7.2,1.4,4.1,5.5,0.9,1,0.5
"280","Otto Porter Jr.",2389641,2389641,"SF-PF",27,28,6,21.6,9.7,2,3.5,8.1,1,4.4,5.4,0.6,0.1,0.9
"281","P.J. Tucker",7e+06,7e+06,"PF",35,52,33,26.1,3.7,1.2,1.3,3.4,1,2.9,3.9,0.8,0.4,0.8
"282","Pascal Siakam",31320000,100920000,"PF",26,56,56,35.8,21.4,4.5,7.8,17.2,1.7,5.5,7.2,1.1,0.7,2.3
"283","Pat Connaughton",5333333,5333333,"SG",28,69,4,22.8,6.8,1.2,2.4,5.6,0.9,3.9,4.8,0.7,0.3,0.5
"284","Patrick Beverley",14320988,27320988,"PG",32,37,34,22.5,7.5,2.1,2.5,5.9,0.8,2.4,3.2,0.8,0.8,0.9
"285","Patty Mills",5890000,5890000,"PG",32,68,1,24.8,10.8,2.4,3.7,9,0.3,1.4,1.7,0.6,0,1
"286","Paul George",39344970,127477703,"SF",30,54,54,33.7,23.3,5.2,8.2,17.6,0.8,5.8,6.6,1.1,0.4,3.3
"287","Paul Millsap",2641691,2641691,"PF",35,56,36,20.8,9,1.8,3.4,7.2,1.4,3.3,4.7,0.9,0.6,0.9
"288","Paul Reed",1517981,NA,"PF",21,26,0,6.8,3.4,0.5,1.6,3,1.2,1.2,2.3,0.4,0.5,0.5
"289","Payton Pritchard",2137440,4376640,"SG",23,66,4,19.2,7.7,1.8,2.8,6.3,0.5,1.9,2.4,0.6,0.1,0.8
"290","PJ Dozier",1910860,1910860,"SG",24,50,6,21.8,7.7,1.8,3,7.1,0.7,2.9,3.6,0.6,0.4,0.9
"291","Precious Achiuwa",2711280,5551440,"PF",21,61,4,12.1,5,0.5,2,3.7,1.2,2.2,3.4,0.3,0.5,0.7
"292","R.J. Hampton",2303040,4715880,"SG-PG",19,51,1,17.4,6.9,1.7,2.7,6.1,0.6,2.9,3.5,0.4,0.2,1
"293","Rajon Rondo",2641691,4858309,"PG",34,45,3,17.1,5.4,4.4,2.1,4.8,0.4,2,2.4,0.8,0.1,1.8
"294","Rajon Rondo",2641691,2641691,"PG",34,45,3,17.1,5.4,4.4,2.1,4.8,0.4,2,2.4,0.8,0.1,1.8
"295","Raul Neto",2089448,2089448,"PG",28,64,22,21.9,8.7,2.3,3.3,7,0.4,2,2.4,1.1,0.1,0.8
"296","Reggie Bullock",9536000,2.5e+07,"SF",29,65,64,30,10.9,1.5,3.8,8.6,0.2,3.2,3.4,0.8,0.2,0.7
"297","Reggie Jackson",10384500,21599760,"SG",30,67,43,23,10.7,3.1,3.9,8.7,0.4,2.5,2.9,0.6,0.1,1.1
"298","Richaun Holmes",10384500,33645780,"C",27,61,61,29.2,14.2,1.7,6,9.4,2.4,5.9,8.3,0.6,1.6,1.2
"299","Ricky Rubio",17809524,17809524,"PG",30,68,51,26.1,8.6,6.4,2.8,7.3,0.4,2.9,3.3,1.4,0.1,1.6
"300","RJ Barrett",8623920,19524555,"SG",20,72,72,34.9,17.6,3,6.5,14.7,0.9,4.8,5.8,0.7,0.3,1.9
"301","Robert Covington",12975471,12975471,"PF",30,70,70,32,8.5,1.7,2.9,7.3,0.9,5.8,6.7,1.4,1.2,0.9
"302","Robin Lopez",5e+06,5e+06,"C",32,71,9,19.1,9,0.8,3.8,6,2,1.8,3.8,0.2,0.6,1.1
"303","Rodney Hood",2239544,2239544,"SF",28,55,5,17.1,4.5,1,1.7,4.7,0.4,1.5,1.9,0.4,0.1,0.7
"304","Rodney McGruder",1939350,1939350,"SG",29,16,2,12.1,5.7,1,2.3,4.4,0.5,0.9,1.4,0.5,0.1,0.4
"305","Romeo Langford",3804360,9438617,"SG",21,18,4,15.7,3.1,0.7,1.2,3.3,0.7,1.3,1.9,0.3,0.3,0.6
"306","Royce O'Neale",8678571,27964286,"SF",27,71,71,31.6,7,2.5,2.5,5.5,1.2,5.6,6.8,0.8,0.5,1.2
"307","Rudy Gay",5890000,12074500,"PF",34,63,1,21.6,11.4,1.4,4.2,10,0.7,4.1,4.8,0.7,0.6,1
"308","Rudy Gobert",35344828,158344829,"C",28,71,71,30.8,14.3,1.3,5.5,8.2,3.4,10.1,13.5,0.6,2.7,1.7
"309","Rui Hachimura",4916160,11179348,"PF",22,57,57,31.5,13.8,1.4,5.4,11.4,0.9,4.6,5.5,0.8,0.1,1.2
"310","Ryan Arcidiacono",586136,791798,"PG",26,44,0,10.2,3.1,1.3,1.1,2.7,0.1,1.4,1.5,0.2,0,0.2
"311","Saben Lee",1489065,3241703,"PG",21,48,7,16.3,5.6,3.6,2.1,4.4,0.4,1.6,2,0.7,0.3,1.1
"312","Saddiq Bey",2824320,5783400,"SF",21,70,53,27.3,12.2,1.4,4,9.9,0.6,3.9,4.5,0.7,0.2,0.9
"313","Sam Merrill",663024,663024,"SG",24,30,2,7.8,3,0.7,1.1,2.4,0.2,0.8,1,0.3,0,0.3
"314","Semi Ojeleye",1789256,1789256,"PF",26,56,15,17,4.6,0.7,1.6,3.9,0.6,2.1,2.6,0.3,0,0.4
"315","Serge Ibaka",9742000,9742000,"C",31,41,39,23.3,11.1,1.8,4.5,8.9,1.8,4.9,6.7,0.2,1.1,1.1
"316","Seth Curry",8186047,16744187,"SG",30,57,57,28.7,12.5,2.7,4.5,9.7,0.2,2.2,2.4,0.8,0.1,1.1
"317","Shai Gilgeous-Alexander",5495532,178045532,"SG",22,35,35,33.7,23.7,5.9,8.2,16.1,0.5,4.2,4.7,0.8,0.7,3
"318","Shake Milton",1846738,1846738,"SG",24,63,4,23.2,13,3.1,4.8,10.6,0.5,1.8,2.3,0.6,0.3,1.6
"319","Solomon Hill",2389641,2389641,"PF",29,71,16,21.3,4.5,1.1,1.5,4.2,0.6,2.4,3,0.7,0.2,0.6
"320","Spencer Dinwiddie",17142857,45142857,"SG",27,3,3,21.3,6.7,3,2,5.3,0,4.3,4.3,0.7,0.3,1.7
"321","Stanley Johnson",888616,1248865,"PF",24,61,13,16.5,4.4,1.5,1.5,3.8,0.5,2,2.5,0.9,0.3,0.9
"322","Stephen Curry",45780966,261134628,"PG",32,63,63,34.2,32,5.8,10.4,21.7,0.5,5,5.5,1.2,0.1,3.4
"323","Sterling Brown",3e+06,6e+06,"SG",25,51,14,24.1,8.2,1.4,2.9,6.6,0.7,3.6,4.4,0.7,0.2,0.8
"324","Steven Adams",17073171,3.5e+07,"C",27,58,58,27.7,7.6,1.9,3.3,5.3,3.7,5.2,8.9,0.9,0.7,1.3
"325","Svi Mykhailiuk",1729217,1729217,"SF-SG",23,66,14,20.1,8.5,1.7,3.2,7.7,0.4,2.1,2.5,0.8,0.2,1.3
"326","T.J. McConnell",7500000,29300000,"PG",28,69,3,26,8.6,6.6,4,7.1,0.8,2.9,3.7,1.9,0.3,2
"327","Taj Gibson",4910000,4910000,"C",35,45,3,20.8,5.4,0.8,2.2,3.5,2.2,3.4,5.6,0.7,1.1,0.5
"328","Talen Horton-Tucker",9500000,19760000,"SG",20,65,4,20.1,9,2.8,3.4,7.5,0.4,2.2,2.6,1,0.3,1.6
"329","Taurean Prince",15057692,15057692,"PF",26,41,10,22.1,9.5,1.9,3.2,8,0.5,3,3.5,0.7,0.6,1.1
"330","Terance Mann",1782621,25713302,"SG",24,67,10,18.9,7,1.6,2.7,5.2,0.8,2.8,3.6,0.4,0.2,0.6
"331","Terence Davis",4e+06,8e+06,"SG",23,61,4,17.6,8.7,1.4,3.2,7.5,0.3,2.2,2.5,0.7,0.2,1
"332","Terrence Ross",12500000,2.4e+07,"SG",29,46,2,29.3,15.6,2.3,5.5,13.4,0.3,3.1,3.4,1,0.5,1.6
"333","Terry Rozier",17905263,114163957,"SG",26,69,69,34.5,20.4,4.2,7.4,16.4,0.7,3.7,4.4,1.3,0.4,1.9
"334","Thanasis Antetokounmpo",1729217,1729217,"SF",28,57,3,9.7,2.9,0.8,1.2,2.4,0.9,1.2,2.2,0.4,0.2,0.8
"335","Thomas Bryant",8730159,8730159,"C",23,10,10,27.1,14.3,1.5,5.9,9.1,1.8,4.3,6.1,0.4,0.8,1.1
"336","Tim Hardaway Jr.",21306816,7.5e+07,"SG",28,70,31,28.4,16.6,1.8,5.8,13,0.3,3,3.3,0.4,0.2,0.9
"337","Tobias Harris",3.6e+07,115448276,"PF",28,62,62,32.5,19.5,3.5,7.6,14.9,1,5.8,6.8,0.9,0.8,1.7
"338","Tony Bradley",1789256,1789256,"C",23,42,8,16.3,7.1,0.9,3.1,4.7,2,3.7,5.7,0.4,0.7,0.8
"339","Tony Snell",2389641,2389641,"SG",29,47,23,21.1,5.3,1.3,1.9,3.6,0.4,2,2.4,0.3,0.2,0.4
"340","Torrey Craig",4878049,1e+07,"SF",30,50,8,16.1,5.5,1,2.2,4.5,1.1,2.8,3.9,0.6,0.5,0.5
"341","Tre Jones",1517981,1517981,"PG",21,37,1,7.3,2.5,1.1,1,2.1,0.2,0.4,0.6,0.2,0,0.4
"342","Trevor Ariza",2641691,2641691,"SF",35,30,27,28,9.4,1.8,3.3,8,0.9,3.9,4.8,1,0.6,0.7
"343","Trey Burke",3333333,3333333,"PG",28,62,1,14.7,6.6,1.3,2.4,5.7,0.2,0.7,0.9,0.6,0.1,0.5
"344","Trey Lyles",2500000,2500000,"PF",25,23,9,15.6,5,0.6,1.9,3.9,0.4,3.3,3.7,0.3,0,0.3
"345","Tristan Thompson",10720900,1e+06,"PF",29,54,43,23.8,7.6,1.2,3.1,6,3.1,5,8.1,0.4,0.6,1.1
"346","Tristan Thompson",10720900,9720900,"PF",29,54,43,23.8,7.6,1.2,3.1,6,3.1,5,8.1,0.4,0.6,1.1
"347","Troy Brown Jr.",5170564,5170564,"SF",21,34,0,15.4,4.7,0.9,1.8,4.2,0.6,2.5,3.1,0.3,0.2,0.6
"348","Ty Jerome",2412840,6632897,"SG",23,33,1,23.9,10.7,3.6,3.9,8.7,0.3,2.5,2.8,0.6,0.2,1.4
"349","Tyler Herro",4004280,9726396,"SG",21,54,15,30.3,15.1,3.4,5.7,12.9,0.5,4.5,5,0.6,0.3,1.9
"350","Tyrell Terry",1517981,3300602,"PG",20,11,0,5.1,1,0.5,0.5,1.5,0,0.5,0.5,0.5,0,0.2
"351","Tyrese Haliburton",4023600,8238720,"PG",20,58,20,30.1,13,5.3,5,10.7,0.7,2.3,3,1.3,0.5,1.6
"352","Tyrese Maxey",2602920,5329800,"SG",20,61,8,15.3,8,2,3.2,7,0.2,1.5,1.7,0.4,0.2,0.7
"353","Tyus Jones",7522200,7522200,"PG",24,70,9,17.5,6.3,3.7,2.5,5.9,0.3,1.7,2,0.9,0.1,0.7
"354","Udoka Azubuike",2075880,4250760,"C",21,15,0,3.8,1.1,0,0.3,0.6,0.3,0.6,0.9,0.1,0.3,0.2
"355","Udonis Haslem",2641691,2641691,"C",40,1,0,3,4,0,2,2,0,1,1,0,0,0
"356","Vernon Carey Jr.",1517981,3300602,"C",19,19,4,6.1,2.4,0.1,0.9,1.9,0.3,1.1,1.4,0.1,0.3,0.3
"357","Victor Oladipo",2389641,2389641,"SG",28,33,33,32.7,19.8,4.6,7.1,17.5,0.4,4.5,4.8,1.4,0.4,2.5
"358","Wayne Ellington",2641691,2641691,"SG",33,46,31,22,9.6,1.5,3.2,7.3,0.3,1.6,1.8,0.4,0.2,0.7
"359","Wendell Carter Jr.",6920027,5e+07,"C",21,54,44,25.5,11.2,1.9,4.3,8.5,2.4,5.8,8.2,0.6,0.8,1.4
"360","Wesley Matthews",1958501,NA,"SG",34,58,10,19.5,4.8,0.9,1.5,4.3,0.3,1.3,1.6,0.7,0.3,0.4
"361","Will Barton",15384615,3.2e+07,"SF",30,56,52,31,12.7,3.2,4.6,10.9,0.7,3.3,4,0.9,0.4,1.7
"362","Xavier Tillman Sr.",1517981,3300602,"PF",22,59,12,18.4,6.6,1.3,2.8,5.1,1.3,3.1,4.3,0.7,0.6,0.8
"363","Zach LaVine",19500000,19500000,"SG",25,58,58,35.1,27.4,4.9,9.8,19.4,0.6,4.4,5,0.8,0.5,3.5
"364","Zeke Nnaji",2498760,5116560,"PF",20,42,1,9.5,3.2,0.2,1.2,2.5,0.3,1.2,1.5,0.2,0.1,0.2
